"host","documentTtl","nextUpdate","queueUrl","refreshIntervalSeconds","seeds"
"100daysofadventures.blogspot.com","0","1723892440992","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-100daysofadventures-blogspot-com","86400","[""http://100daysofadventures.blogspot.com""]"
"chwkhiker.weebly.com","0","1724717140899","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-chwkhiker-weebly-com","864000","[""http://chwkhiker.weebly.com""]"
"vividrea1ity.blogspot.com","7776000","1724556340904","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-vividrea1ity-blogspot-com","864000","[""http://vividrea1ity.blogspot.com""]"
"webelongoutside.com","7776000","1724718760893","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-webelongoutside-com","864000","[""https://webelongoutside.com""]"
"www.jeffreyjhebert.com","7776000","1723876840901","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-www-jeffreyjhebert-com","86400","[""https://www.jeffreyjhebert.com""]"
"trailcatjim.com","7776000","1723892441024","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-trailcatjim-com","86400","[""https://trailcatjim.com""]"
"www.cosleyhouston.com","7776000","1724556340936","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-www-cosleyhouston-com","864000","[""https://www.cosleyhouston.com/recent-trips.htm""]"
"bodieventure.wordpress.com","7776000","1724556340965","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-bodieventure-wordpress-com","864000","[""https://bodieventure.wordpress.com""]"
"www.buckaroobinaries.com","7776000","1724296780936","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-www-buckaroobinaries-com","864000","[""https://www.buckaroobinaries.com""]"
"canadianalpinist.blogspot.ca","7776000","1724556340993","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-canadianalpinist-blogspot-ca","864000","[""http://canadianalpinist.blogspot.com""]"
"www.leelau.net","7776000","1724556341022","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-www-leelau-net","864000","[""http://www.leelau.net/sharonandlee""]"
"korrapesce.blogspot.com","7776000","1731466660891","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-korrapesce-blogspot-com","8640000","[""https://korrapesce.blogspot.com""]"
"bobspirko.ca","7776000","1724557240897","https://sqs.us-west-2.amazonaws.com/259609947632/sts-index-queue-bobspirko-ca","864000","[""http://bobspirko.ca""]"
